domain,phone_numbers,social_links,address
https://www.tic-texas.com,281-265-0402; 281-265-0409,https://www.instagram.com/texas_inpatient_consultants/; https://www.linkedin.com/company/texas-inpatient-consultants-lllp/; https://www.facebook.com/TICSugarLand/,"500 Sugar Land, TX 77478"
https://www.tylerteaches.com,,,
https://www.beezneedz.com,,http://instagram.com/shopify,
https://www.bergesenterpriseinc.com,,,
https://www.tandoorrestaurants.com,,https://www.instagram.com/tandoor_indianslc?igsh=MXJnbXZvZGF4b3Bncw==; https://facebook.com/tandoorgrill,
https://www.govirtualoffice.com,,https://twitter.com/goVirtualOffic1; https://www.facebook.com/govirtualoffice/; https://www.linkedin.com/company/govirtualoffice; https://www.youtube.com/channel/UCGzSKZZMvTCxaQ2tscq9Osg,"200 Waunakee, WI 53597"
https://www.asahisuperdry.com,,,
https://www.philippineflowers.com,,https://www.youtube.com/embed/hCxX7Sp1DPw; https://www.youtube.com/embed/_fJty1hZJe0; https://www.youtube.com/embed/wOq-nGEHRmI; https://www.youtube.com/embed/9NJmQbL6nJQ; https://www.youtube.com/embed/avhfn6zmNLA,
https://www.themacks.wordpress.com,,,
https://www.ngchm.net,,https://www.youtube.com/watch?v=O42w5P3A1_8; https://twitter.com/nextgenheatmaps; https://twitter.com/intent/tweet?text=How%20to%20Examine%20Pathways%20in%20Next%20Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f; https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20data%20from%20the%20ISB%20Cancer%20Genomics%20Cloud&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f; https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20Galaxy%20Tool&url=%2fpost%2fnew-features-in-ngchm-galaxy%2f; https://twitter.com/intent/tweet?text=Linkout%20Type%20Descriptions&url=%2fpost%2flinkout-type-descriptions%2f; https://twitter.com/intent/tweet?text=Clustered%20Heat%20Maps%20for%20Big%20Data&url=%2fpost%2fclustered-heat-maps-for-big-data%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fclustered-heat-maps-for-big-data%2f; https://twitter.com/intent/tweet?text=New%20Features%20in%20the%20NG-CHM%20Viewer%20and%20Builder&url=%2fpost%2fnew-features-in-ngchm-viewer%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f; https://www.youtube.com/channel/UCADGir2q8IaI9cGQuzjSL9w; https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-rstudio-ngchm%2f; https://twitter.com/intent/tweet?text=How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f; https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20RStudio%20Containers&url=%2fpost%2fnew-features-in-rstudio-ngchm%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-galaxy%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f; https://twitter.com/intent/tweet?text=Deprecated%3a%20How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f; https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20the%20Interactive%20Builder&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f; https://www.linkedin.com/cws/share?url=%2fpost%2flinkout-type-descriptions%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-rstudio-ngchm%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-viewer%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2flinkout-type-descriptions%2f; https://www.facebook.com/NextGenerationClusteredHeatMap; https://www.youtube.com/watch?v=DmeluuRcDLU; https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fclustered-heat-maps-for-big-data%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-viewer%2f; https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f; https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-galaxy%2f,
https://www.shootmethevin.com,(877) 512-2555,,
https://www.topcropalliance.com,812-614-0436,https://www.youtube.com/channel/UC2h_3DFpDphhql_88XXLnxg; https://twitter.com/brianbbbush; https://www.facebook.com/topcropagronomy,
https://www.lassomd.com,888-448-8149,https://www.youtube.com/@lassomd; https://www.facebook.com/Hi.LassoMD/; https://www.instagram.com/hi.lassomd/,
https://www.mompopshop.com,,https://www.instagram.com/p/CEumEgKJAdh/; https://www.instagram.com/momandpopshoptruck/; https://www.instagram.com/p/CEzTCZ6JvcW/; https://www.instagram.com/p/CFAv0EGpVR2/; https://www.instagram.com/p/CEsLS9xJ7pZ/; https://www.youtube.com/channel/UC6kKFe4vtRx6lteGEd-c5QA; https://www.instagram.com/p/CE4ZQ11JPED/; https://www.instagram.com/p/CEo7JJfJF7_/; https://www.facebook.com/momandpopshoptruck; https://www.instagram.com/p/CE9xlu7JLDV/; https://www.instagram.com/p/CExDvuFp1Sk/,
https://www.romanolawpllc.com,248-750-0270; 248-936-2105; (248) 750-0270,,"2105 30300 Telegraph Rd Bingham Farms, MI 48025"
https://www.slushpoolglobal.com,,,
https://www.potomaccanine.com,,,
https://www.camilluscusecamp.com,,,
https://www.karrgroupco.com,,,
https://www.alluredesign.org,,,Apache/2.4.7 (Ubuntu) Server at www.alluredesign.fr Port 80
https://www.markhensonart.com,707-275-2201; 707-730-8538,http://www.twitter.com; https://www..youtube.com/watch?v=WbLO-xjDwQ; http://www.youtube.com/watch?v=WbLO-xljDwQ; http://www.facebook.com; http://www.instagram.com,
https://www.lifeofbtc.org,(803) 549-0083,https://www.facebook.com/Sterling-Council-605921499827431; https://www.instagram.com/life.of.btc/,
https://www.fitfeetflorida.com,813-645-1993; (813) 563-6458; 727-824-5100; (813) 645-1993,https://www.facebook.com/FitFeetForLifeFootandAnkle/,
https://www.morenohillssda.org,(951) 485-4646,https://www.facebook.com/morenohillssdachurch; //instagram.com/morenohillssda,
https://www.rhcapco.com,,,
https://www.sonicshopper.com,,,
https://www.hillartistry.com,,//facebook.com/hillartistry; http://www.linkedin.com/pub/linda-hill/1b/734/849/http://www.linkedin.com/pub/linda-hill/1b/734/849/; https://twitter.com/Linda_Hill; http://www.facebook.com/hillartistry,
https://www.reeleminbaitandtackle.com,(772) 581-1027; 772-581-1027,https://www.facebook.com/Reel-Em-In-Bait-Tackle-657340811058678/,
https://www.gametableadventures.com,(740) 281-0195,https://www.instagram.com/gametableadventures/; https://www.facebook.com/gametableadventures/,
https://www.sweetadswebcast.com,,http://facebook.com/sweetadelinesintl; https://www.youtube.com/user/SweetAdelineIntl; http://instagram.com/sweetadelinesintl,
https://www.citadelurban.com,210-898-4777,https://www.facebook.com/profile.php?id=61555742331720; https://www.instagram.com/citadelurban/,"4777 Book a Tour Find Your Home Home Amenities Floorplans Neighborhood Gallery Virtual Tours Residents Contact Find Your Home Book a Tour 503 Richland Hills Drive San Antonio, TX 78245"
https://www.horizon-international.com,617-489-6660; 617-489-6666,"
https://www.linkedin.com/company/horizon-international-trd.-inc.?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf; https://www.linkedin.com/company/horizon-international-trd.-inc.?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf","385 Concord Avenue Belmont, MA 02478"
https://www.lodgelivin.com,,,
https://www.happydaycreations.net,,https://www.facebook.com/happydaycreations,
https://www.earthagent.org,,,
https://www.sheetmetallocal399.com,,https://www.facebook.com/local399/?fref=ts; https://www.youtube.com/watch?v=wnAB08E9MrU,
https://www.budgetmobilehometransport.com,(405) 880-2041,https://www.facebook.com/p/Budget-Mobile-Home-Transport-100057698160037/,"24300 County RD 230 Morrison, OK 73061"
https://www.thephotoboothunlimited.com,(651) 363-7249; (951) 412-1624,https://m.facebook.com/PhotoBooth-Unlimited-108576848318847/,
https://www.ogawadesign.com,(786) 220-1295,https://www.facebook.com/pages/Ogawa-Design-Agency/169976023547; https://twitter.com/OgawaDesign,"207 Miami, FL 33138"
https://www.kiddnap.com,084-271-2233,https://www.facebook.com/KiddNap.MintTower,
https://www.vipsmarthomes.com,,https://www.linkedin.com/company/vipsmarthomes/,
https://www.secag.org,(469) 708-7818,https://twitter.com/keenwise_inc; http://www.facebook.com/keenwise,
https://www.charliesproshop.com,(727) 397-3947,,"11401 Starkey Road Largo, FL 33773"
https://www.shakeprosolutions.com,,https://twitter.com/shakepros; https://www.facebook.com/ShakeProSolutions/; http://instagram.com/shakeprosolutions,
https://www.blacknewengland.org,,,
https://www.bhmedicalsupplies.com,201-574-7005,https://youtube.com/user/shopify,
https://www.themasker.com,(312) 288-8383,https://www.youtube.com/c/TheMaskerstudio/videos; https://www.facebook.com/TheMaskerStudio; https://www.instagram.com/themaskerstudio/,
https://www.cincyscrubs.com,513-939-6007,https://www.facebook.com/cincyscrubs/; https://www.instagram.com/@CincyScrubs,Phone:
https://www.pcinapa.com,505-865-1006; 575-746-3597; 505-864-2246,,"519 E Reinken Ave Belen, NM 87002"
https://www.janarose.us,,https://www.instagram.com/reel/Ct38o-uNK_o/; https://www.instagram.com/reel/CtbwblgRU_k/; https://www.instagram.com/reel/Ct7P56apYIg/; https://www.instagram.com/reel/CuPiaj9r-ZK/; https://www.instagram.com/p/CuFPFmELou9/; https://www.instagram.com/p/CtpAf4TJKnC/; https://www.instagram.com/reel/CuDXVwGJ5nv/; https://www.instagram.com/reel/Ct96i3op0vY/; https://www.instagram.com/reel/CuSUzDdp3S4/; https://www.instagram.com/reel/Ctpf4NBpW95/; https://www.instagram.com/reel/CuAPx0wJocZ/; https://www.instagram.com/reel/CuUoHCqs3gq/,
https://www.harmonystarkennel.com,,,
https://www.concordncwildliferemoval.com,980-245-4343,,
https://www.projectgestalt.com,,https://www.linkedin.com/company/project-gestalt/about/; https://www.linkedin.com/in/neil-glenn-jacobson/; https://www.linkedin.com/in/patty-clark-2874281bb/,
https://www.easystreetcookies.com,,https://il.linkedin.com/company/wix-com?trk=public_jobs_topcard_logo; https://www.instagram.com/wix; https://www.twitter.com/wix; https://www.youtube.com/user/Wix; https://www.facebook.com/wix,
https://www.fanbladedesigns.com,208-720-4041,https://www.youtube.com/watch?v=-CZLpKgoemU; https://www.youtube.com/watch?v=-CZLpKgoemU&ab_channel=FanBladeDesigns; https://instagram.com/fanbladedesigns; https://twitter.com/FanBladeDesigns; https://www.facebook.com/pages/Fan-Blade-Designs/1414707588783035; https://twitter.com/fanbladedesigns,"7012 Boise, ID 83707"
https://www.ameecleaning.com,(785) 565-0000,,
https://www.abbevillecalendar.com,,,
https://www.finishingtouch.contractors,,,
https://www.fccherrick.org,,,
https://www.jackjewelryinc.com,,,
https://www.rfacapitalcorp.com,(914) 393-4509,https://www.instagram.com/rfacapital/; https://www.instagram.com/p/CqXCk28MBcY/; https://www.instagram.com/p/CqXCdBhMC3u/; https://www.instagram.com/p/CqXCU6BshbP/; https://www.instagram.com/p/CqvxcVzP82R/; https://www.instagram.com/p/CqXCr70sg1C/; https://www.instagram.com/p/CqXCO1isdgx/; https://www.instagram.com/p/Cr38miVvfe-/,
https://www.innsofcourt.org,(703) 684-3590,https://twitter.com/innsofcourt; https://www.facebook.com/AmericanInnsofCourt/; https://www.linkedin.com/groups/1886832; https://twitter.com/intent/tweet?button_hashtag=innsofcourt&ref_src=twsrc%5Etfw,
https://www.laydomsouth.org,,,
https://www.crabhouse39.com,,https://www.instagram.com/p/DJpjLa-hm_K/; https://www.youtube.com/watch?v=rcvyuq_MCNY; https://www.instagram.com/crabhouse39/?ref=badge; https://www.youtube.com/watch?v=UW1yDCdvTUM&t=548s; https://www.instagram.com/p/DJScy2nBK8f/; https://www.instagram.com/p/DKc0q5FyOVt/; https://www.youtube.com/watch?v=6hC4xyEYOhs; https://www.instagram.com/reel/DK2qsRrBUwq/; https://www.facebook.com/crabhouseatpier39,"2 Beach St SAN FRANCISCO, CA 94133"
https://www.whymessa.com,(215) 568-3500; (856) 833-0600; (215) 940-7700; (215) 844-1614; (856) 810-9555; (610) 518-5328,,"3500 475 White Horse Pike Collingswood, NJ 08107"
https://www.sbmobilenails.com,805-554-9029,,
https://www.dreamlab.design,(240) 796-7601,https://www.linkedin.com/company/80255973; https://www.facebook.com/dreamlabcreativeideas; https://www.instagram.com/dreamlab.creative/,
https://www.sinceremobilephlebotomy.net,(682) 262-1935; (682) 334-7282; (817) 939-3117,http://instagram.com/; https://www.facebook.com/sincerephlebotomy,"1166 Country Club Ln Suite 8 Fort Worth, TX 76112"
https://www.aproa.org,,,
https://www.cheftea.com,540-659-9687,,
https://www.drmeganseltz.com,(347) 753-4657,,
https://www.auroratechservices.com,(210) 729-5060; (281) 453-7400; (281) 453-7700,,"150 Houston, TX 77056"
https://www.change-points.com,,,
https://www.wombatworks.org,,https://twitter.com/WombatWorks; https://www.facebook.com/wombatworksllc,
https://www.graspinc.org,,https://www.facebook.com/GRASPinc; https://www.instagram.com/grasppetrescue/,
https://www.hillcreststoragetn.com,(931) 397-1809; (931) 864-7867,,
https://www.millarandsons.net,,https://www.facebook.com/Millar-and-Sons-Inc-193085170723228/; https://www.instagram.com/millarandsons/?hl=en,
https://www.yoursbasource.com,,,
https://www.grpinsurance.com,(561) 448-7410; (877) 641-6677,,
https://www.harperfinancialassociates.com,3002121866; (781) 435-2000,,"200 Hingham, MA 02043"
https://www.neomedia-dg.com,(915) 201-2695,https://www.facebook.com/neomedia.dg; https://www.youtube.com/user/NeomediaDesignGroup/videos; https://www.instagram.com/neomedia.dg; https://www.linkedin.com/company/neomedia-design-group,"11 El Paso, TX 79936"
https://www.gooddogsfarm.com,,,
https://www.perspicacitylabs.com,,,
https://www.kokuanutrition.com,1790331056; 833-563-0471,https://www.instagram.com/shelbyerin_rdn/; http://youtube.com/seslenkamp; https://www.facebook.com/Shelby-Slenkamp-MS-RDN-CD-104966600868165/?ref=aymt_homepage_panel&eid=ARCMWWxltXCQuWS_9YoeGhtrDkGZLg0BO_ziJ0ZQBxJLmeYTlW0y7CtpKAQz9ZM0Rg7NBf8eFiy3wlH5; https://www.youtube.com/user/seslenkamp,
https://www.timothyburger.com,,,
https://www.car.hk,1967 1990 2000 2005,,Hong Kong
https://www.postmodern-strings.com,956 280 6706,,
https://www.blazingstargrange.org,,http://www.facebook.com/wix; http://www.twitter.com/wix; http://www.youtube.com/wixmypage,
https://www.erikashome.com,704-602-0219; 704-576-1671,,
https://www.cifsds.org,858-292-8165,https://www.instagram.com/cifsds/; https://twitter.com/cifsds/; https://www.facebook.com/CIFSDS; https://www.youtube.com/playlist?list=PLfpad-tO3UM9EDLDYOZChPGOmeqIA-Hkk,
https://www.dolphinsdigital.org,,http://linkedin.com/; https://facebook.com/,
https://www.davidprieto.realestate,,https://www.facebook.com/DPREServices/; https://www.linkedin.com/in/david-prieto-0a908330/; http://twitter.com/share,VALUE What's your home worth?
https://www.lemongrassmichigan.com,(248) 335-7435,https://web.facebook.com/pages/lemon-grass-thai-restaurant/170177629663270?_rdc=1&_rdr; https://www.instagram.com/lemongrass_mi/; https://www.instagram.com/lemongrassmi/,
https://www.seattlecandle.com,,,
https://www.juniorchefsofamerica.org,,https://www.instagram.com/jcoarocks; https://twitter.com/jrchefsoa; http://instagram.com/juniorchefsofamerica; https://www.facebook.com/juniorchefsoa; https://twitter.com/junior_chefs,
https://www.evadoyle.com,,,
https://www.kickitupquilting.com,,https://www.instagram.com/kickitupquilting/; https://www.facebook.com/KickItUpQuilting/,
https://www.meskauskis.com,,,
https://www.aiesteam.org,,https://www.instagram.com/p/B-Z9QnAjbg2/; https://www.instagram.com/p/B-XZlmsDChi/; https://www.instagram.com/aiesteam/; https://www.instagram.com/p/B-r_CJ9Dfw0/; https://www.instagram.com/p/B-NRvYQD2xI/; https://www.linkedin.com/company/aiesteam/; https://twitter.com/aiesteam; https://www.facebook.com/aiesteam/,
https://www.marinbaroque.org,,https://www.facebook.com/marin.baroque; https://www.youtube.com/@marinbaroque4859; https://www.instagram.com/marinbaroque/,
https://www.garagedoor-repair-waynenj.com,(973) 319-7770,,1591 Alps Rd
https://www.csquarednetworks.com,1-800-992-0970; 800-992-0970,,"319 Brick, NJ 08723"
https://www.avdtechnologies.com,+1 312 598 5611; 312 598 5611,,
https://www.lequedagua.com,,https://www.instagram.com/lequedagua/; https://www.facebook.com/lequedagua.lda/,
